Date,Mach type,Mach,Effect,Machine Area,Description,Resolution
1/11/2015,,H27,,,Broken bar feeder chain,Repaired
1/14/2015,,H5,,,No power,Replaced pin in pendant and powered machine; Possible short in pendant cable
2/27/2015,,QA,,,Smartscope harness broken,Parts ordered / Tech repaired
2/27/2015,,H18,,,Check / Charge Accumulators,Where OK
2/27/2015,,H23,,,Hyd leak at saw atachment,Replaced seal in saw attachment but still leaking; Reapirs pending with ML
2/27/2015,,H24,,,CS1008 setup change over / from ARC1004,Completed / Threading unit rewired
2/27/2015,,H27,,,Gears on saw attachment tight and grinding per Alex,Replaced saw attachment with rebuilt unit / Removed attachment rebuilt; Shelf
2/27/2015,,H33,,,Check and charge Accumulators,Checked and charged
2/27/2015,,H8,,,St# 14 milling spindle repairs,Reapired
2/27/2015,,I2,,,Hydraulic leak,Replaced ruptured hydraulic line Side B
2/27/2015,,I3,,,Turrets leaking A & B ,Turrets removed and cleaned of chhips
2/27/2015,,I5,,,Spindle carrier not indexing / Over Feed,
3/2/2015,,A69,,,PO will not open / close,Allen Bradley plunger switch replaced 
3/2/2015,,H10,,,Top cross drill leaking hydraulic,Unit swapped with rebuilt cross drill unit
3/2/2015,,H20,,,Accumulator check,Checked and charged
3/2/2015,,I2,,,Conveyor Jam,Hand cranked to free minor jam
3/2/2015,,I6,,,Hydraulic Motor overheat Alarm,Hydraulic pum replaced / Motor was swapped also
3/3/2015,,SH,,,Smog Hog leaking,Cleaned cells and exhaust vent
3/9/2015,,H14,,,Bar loader tray bent by forktruck,Bent back and replaced screws
3/14/2015,,I1,,,Transport dropping parts,Programing adjustments
3/14/2015,,I4,,,Chip conveyor INOP,Removed conveyor and belt on 3/17; Returned box to I4 and online w/o belt
3/16/2015,,AIM RM 1,,,Vacuum pump INOP,Replaced pump
3/16/2015,,H10,,,Top cross drill unit bearings are bad,Roland rebuilt unit on shelf / Gio and Steve installed in H10
3/16/2015,,H11,,,Brush unit stuck forward,Prox snsor for depth adjusted / Plug and cable replaced
3/16/2015,,H3,,,Saw attachment; short saw life,Replaced saw attachment with backup attachment; removed unit rebuilt and stored
3/16/2015,,H3,,,Chip conveyor INOP,Ran back and forth; Cleared
3/16/2015,,Sinico,,,Unit 2 chamfer head belt broken from 3S collision,Replaced drive belt
3/17/2015,,ES5,,,Adjusting screw broken pos 2 in tool head,
3/17/2015,,H14,,,Saw attachment; short saw life,Replaced saw attachment with backup attachment; removed unit to be rebuilt
3/17/2015,,H19,,,St#11 spindle keeps losing drills,Wrong drive pulleys on spindle; Correct pulleys and belt replaced
3/17/2015,,H8,,,St# 6V mill not running,Replaced GR motor; broken drive inside gearbox
3/17/2015,,I2,,,Side B hydraulic leak,Replaced hydraulic hose / base drained with new collant added
3/17/2015,,T105,,,Machine will not stay running,Gearbox cleaned out and prox sensor replaced
3/18/2015,,H14,,,Inverter guard broken,Welded 
3/18/2015,,H14,,,Accumulator check / dropping parts at saw,Checked accumulator; OK at 30bar
3/18/2015,,H29,,,St#12 HSK tool clamp loose,Replaced HSK clamp screw
3/18/2015,,H3,,,Losing parts at exit chute,Operator adjusted chute; reported ok
3/18/2015,,I1,,,Adjust jammed chip stripper on conveyor,Adjusted chip conveyor belt tension and cleared chips from stripper
3/18/2015,,I18,,,Alarm  765053 bar clamping pressure still present SP#6,Cleared on 3/19
3/18/2015,,I5,,,Hydraulic leak in spindle carrier,Removed and replaced broken bolts in spindle #4 horseshoe
3/18/2015,,TK4,,,Sensors on spindle INOP,Sensors and cables replaced with Tony Lobo assist
3/19/2015,,H11,,,St#13 motor smoking,JPM provided motor / Luis Vargas installed
3/19/2015,,H12,,,Hydraulic leak at St#11 valve plate,Removed valve plate and replaced O-Rings
3/19/2015,,H23,,,Saw unit will INOP,Prox wiring replaced
3/19/2015,,H8,,,Remove Bio-Hyd from PP; replace with ISO 46 hyd oil,JPM swapped.
3/19/2015,,I19,,,Breaker tripping / elect burn smell,Breaker reset; Norm monitoring
3/19/2015,,RM227,,,Stripped screw head in regulating wheel,Removed screw by drilling it out
3/19/2015,,TK3,,,Conveyor sensor alarm??,Pete Carello corrected
3/19/2015,,TK4,,,HP coolant pressure at 75psi,Bad gauge / Low pressure lines cleaned ou
3/20/2015,,EWAG,,,Meauring arm slamming / pneumatic shock absorber?,Air leak in pneumatic actuator repaired.
3/20/2015,,H11,,,Stuck in 1/2 table w numerous faults,Brushing unit motor wiring causing issues. Replaced motor starter
3/20/2015,,H11,,,Pendant screen blank / Multiple faults,
3/21/2015,,I3,,,Broken wire on AIM,Repaired wire
3/21/2015,,SC5,,,No Power to machine,
3/23/2015,,H11,,,Electrical failure,Tony resolved electrical; no details
3/23/2015,,H23,,,Saw will not fire,Prox adjusted
3/23/2015,,H24,,,6mm hex clamping screw broken / ,Removed and replaced broken clamping screw
3/23/2015,,H26,,,Brushing unit adjustment broken,Replaced adjusting threaded rod
3/23/2015,,H28,,,Threading unit chattering,Replaced motor starter
3/23/2015,,H29,,,Breaker tripping    ,Replaced motor at St#11
3/23/2015,,H33,,,Brushing unit stuck forward at 1445,Replaced motor contactor M14
