token,NE,alias,notes
replace,S,,
motor,I,,
break,P,broken,
spindle,I,,
valve,I,,
leak,P,,
remove,S,,
unit,I,,
fault,P,,
inop,P,inoperable,
repair,S,,
alarm,I,,
adjust,S,,
instal,S,install,
will_not,P,,
machine,I,,
bear,I,,Is it shortening Bearing (V)?
sensor,I,,
hydraulic,I,,
coolant,I,,
accumulator,I,,
find,X,,find P or S
pump,I,,
clean,S,,
reset,S,,
new,X,,
rebuild,S,,
brush_unit,I,brush_unit,
loose,P,,
screw,I,,
drive,I,,
pressure,I,,
bar,I,,
complete,S,,
check,S,,
table,I,,
turret,I,,
oil,I,,
issue,I,fault,"WE DISCUSSED THIS AT ANOTHER POINT, BUT WE SHOULD FIGURE OUT IF ISSUE IS A HIGHER LEVEL AND THAN FAULT AND ALARM ARE A TYPE OF ISSUE"
load,S,,i THINK THIS IS SOLUTION
switch,I,,THIS MIGHT ALSO BE AN ACTION 
jam,P,,
request,P,,
filter,I,,
chip_conveyor,I,chip_conveyor,
bad,P,broken,
accumulator_check,R,,
belt,I,,
ok,X,,
clear,S,,
swap,S,,
cable,I,,
operator,I,,
collet,I,,
inverter,I,,
low,P,,"THIS IS A TOUGH ONE, BECAUSE LOW BY ITSELF SHOULD MEAN PRESSURE IS LOW BUT SOMETIMES THIS WILL GIVE YOU THE ""LOW_PRESSURE"" PUMP ETC"
run,,,I WOULD ARGUE STOP WORD>>>WILL NOT RUN VS RUN IS UNKNOWABLE
hp,I,high_pressure,"This is not always the case though because some times they say ""hp"" as the machine has high pressure for an action"
air,I,,
hose,I,,
clamp,I,,
wear,P,,
inop replace,S,replace,"Defaulted to S, could be P"
chip,I,,
wire,I,,
seal,I,,
clutch,I,,
loader,I,,
tool,I,,
feed,I,,
hydraulic_leak,R,,
return,,,tHIS DEPENDS 
prox,I,proximity,
head,I,,
report,S,,I'M NOT SURE 
position,,,COULD BE STOP WORD
iemca,I,,
table_index,I,table_index,
set,S,,i THINK THIS IS A SOLUTION
line,I,,
main,I,,
charge_to,S,charge,
no_issue,S,,
tank,I,,
pin,I,,
bolt,I,,
charge,S,,
connection,I,,
operator_level,S,train_operator,"THIS COULD BE OUR ""TRAIN OPERATOR"""
-pron-,I,,
2,X,,
base,I,,
st#2,I,st_2,
side_a,I,,
damage,P,broken,
lock,,,"LIKE ""RUN"", could be I"
stop,,,THIS DEPENDS 
order,S,,
failure,P,broken,
contactor,I,,
cnc,I,,
fault replace,,,
side_b,,,
pulley,I,,
fuse,I,,
gear,I,,
coolant_pump,,,
accumulator_check request,R,,
spindle_bear,,,
with_new,,,
cylinder,I,,
breaker,I,,
stick,I,,COULD BE 'STUCK'>>P
shaft,I,,
online,S,,
conveyor,I,,
cycle,S,,NOT SURE ON THIS ONE
solenoid,I,,
ne,,,
use,,,
start,,,"LIKE ""RUN"""
bar_loader,I,bar_loader,
