tokens,NE,alias,notes,score
replaced,S,replaced,,173.2011554214
broken,P,broken,,90.3392355749
st,I,station,,88.6971759794
unit,I,unit,,78.13309719600001
inop,P,inoperable,,67.7680245115
motor,I,motor,,67.0857441797
spindle,I,spindle,not sure if sp = spindle for sure,66.8583619813
leak,P,leak,,64.2670308883
repaired,S,repair,,62.667026891400006
valve,I,valve,,62.746845887
bar,U,bar,,59.36556120260001
hydraulic,I,hydraulic,,58.3739231088
removed,S,remove,,58.0370401136
check,S,check,,57.2679423812
accumulator,I,accumulator,,57.1124647567
coolant,I,coolant,,54.6797093008
bearings,I,bearing,,50.84690893649999
conveyor,I,conveyor,,48.173733471000006
table,I,table,,47.24742900760001
sensor,I,sensor,,44.357511555600006
machine,I,machine,,44.1319864246
faults,P,fault,,44.0559231973
chip,I,chip,,43.628510169799995
completed,S,complete,,42.507523991999996
installed,S,install,,41.9192201858
requested,S,request,,42.0639320763
pump,I,pump,,41.6857792821
screw,I,screw,,41.0479171404
adjusted,S,adjust,,40.6712147422
base,I,base,,39.8791484407
switch,U,switch,,39.4223828284
new,U,new,,38.577424434099996
operator,I,operator,,37.8463386078
charged,S,charge,,37.744521263
loader,I,loader,,37.5669930123
leaking,P,leak,,36.4195320923
cleaned,S,clean,,35.5274602239
pressure,I,pressure,,35.542845115700004
parts,I,part,,34.9758137007
loose,P,loose,,34.0862670526
alarm,P,alarm,,34.0711844995
30bar,U,30bar,not sure what to do here,33.7238221745
reset,S,reset,,33.2136180897
chain,I,chain,,33.0188514898
cable,I,cable,,32.799046564499996
issue,P,issue,,31.508183975100003
power,U,power,,32.0407940177
iemca,I,iemca,,30.086770269000002
drive,U,drive,,30.0492057162
air,I,air,,29.9602744175
turret,I,turret,,29.8744589919
head,I,head,,29.817656797199998
belt,I,belt,,29.106235642199998
clamp,I,clamp,,28.8057340102
clutch,I,clutch,,28.7360920108
ok,S,ok,,28.6952414251
rebuilt,S,rebuild,,28.0407643723
tool,I,tool,,28.254488812399998
worn,P,worn,,27.043020673
fault,P,fault,,27.3221337689
feed,U,feed,,26.973266108
