Broken bar feeder chain,Repaired,bar_feeder/ chain/ bar,broken,repair,bar_feeder/ chain/ bar,,H27,Y,1/11/15,,1/11/15,,Alex,AP,Anthony Paolillo,,chain/ feeder,,broken,repair,bar,
No power,Replaced pin in pendant and powered machine -Possible short in pendant cable,pendant_cable/ cable,short/ no_power,replace,pin,,H5,Y,1/14/15,,11/16/15,,Bruce,JPM / AP,John Murray/ Anthony Paolillo,,machine/ cable/ pin/ pendant,,short,replace,power,
Smartscope harness broken,Parts ordered / Tech repaired,smartscope_harness,broken,order/ repair,smartscope_harness,,QA,Y,2/27/15,,2/27/15,,QA,DK / Tech,Denis Kusiak/ Technician,,part,,broken,repair/ order,,
Check / Charge Accumulators,Where OK,accumulator,check/ charge,no_problem_detected ,,,H18,N,2/27/15,,2/27/15,,Steve C,SA,Steve Andreozzi,,accumulator,,,check/ charge/ ok,,
Hyd leak at saw atachment,Replaced seal in saw attachment but still leaking -Reapirs pending with ML,hydraulic/ saw_attachment/ saw,leak,replace/ need_guy,seal,,H23,N,2/27/15,,2/27/15,,Steve C,JPM,John Murray,,hydraulic/ saw/ attachment,,leak,replace,seal,
Check and charge Accumulators,Checked and charged,accumulator,check/ charge,check/ charge,accumulator,,H33,N,2/27/15,,2/27/15,,Clark,CD,Colin Doherty,,accumulator,,,check/ charge,,
St# 14 milling spindle repairs,Reapired,st_14/ milling/ spindle,repair,repair,st_14/ milling/ spindle,,H8,Y,2/27/15,,2/27/15,,Dave B,JPM,John Murray,,station/ spindle/ mill,,,repair,14,
Turrets leaking A & B,Turrets removed and cleaned of chhips,turret/ side_a/ side_b,leak,remove/ clean,turret/ chip,,I3,N,2/27/15,,2/27/15,,J Con,SA,Steve Andreozzi,,chip/ turret,,leak,remove/ clean,,
Hydraulic leak,Replaced ruptured hydraulic line Side B,hydraulic/ side_b,leak/ rupture,replace,hydraulic/ side_b/ hose,,I2,Y,2/27/15,,2/28/15,,Steve C,DK / JC,Denis Kusiak/ Jon Cousineau,,hydraulic/ line,,leak/ rupture,replace,,
CS1008 setup change over / from ARC1004,Completed / Threading unit rewired,cs1008/ arc1004,setup_change,complete/ rewire,threading_unit,,H24,Y,2/27/15,,3/2/15,,Clark,JPM / ML,John Murray/ Marcel Lefebvre,,unit/ thread,,,complete/ setup,change,
Spindle carrier not indexing / Over Feed,,spindle_carrier/ spindle,not_index/ over_feed,no_action_taken,,,I5,Y,2/27/15,,3/2/15,,Steve C,DK / JC,Denis Kusiak/ Jon Cousineau,,spindle/ index,,,,feed,
Gears on saw attachment tight and grinding per Alex,Replaced saw attachment with rebuilt unit / Removed attachment rebuilt -Shelf,gear/ saw_attachment/ saw,tight,replace/ remove,saw_attachment/ shelf/ saw,,H27,N,2/27/15,,3/3/15,,Steve C,JPM,John Murray,,unit/ saw/ gear/ attachment/ person/ shelf,,,replace/ remove/ rebuild,,
Top cross drill leaking hydraulic,Unit swapped with rebuilt cross drill unit,top_cross_drill/ drill/ hydraulic,leak,swap,cross_drill/ drill,,H10,N,3/2/15,,3/2/15,,Steve C,Gio / Steve C,Gio/ Steve C,,unit/ hydraulic/ drill/ cross,,leak,rebuild/ swap,,
Accumulator check,Checked and charged,accumulator,check ,check/ charge,accumulator,,H20,N,3/2/15,,3/2/15,,J Con,SA,Steve Andreozzi,,accumulator,,,check/ charge,,
Conveyor Jam,Hand cranked to free minor jam,conveyor,jam/ minor,hand_crank/ crank,jam,,I2,Y,3/2/15,,3/2/15,,J Con,CD,Colin Doherty,,conveyor,,jam,,,
PO will not open / close,Allen Bradley plunger switch replaced,po,will_not_open/ will_not_close,replace,allen_bradley_plunger_switch/ switch,,A69,Y,3/2/15,,3/5/15,,Jose,JC,Jon Cousineau,,,,,replace,switch/ open/ close,
Hydraulic Motor overheat Alarm,Hydraulic pum replaced / Motor was swapped also,hydraulic/ motor,overheat/ alarm/ overheat_alarm,replace/ swap,hydraulic_pump/ motor,,I6,Y,3/2/15,,3/7/15,,Steve C,DK / JC,Denis Kusiak/ Jon Cousineau,,motor/ hydraulic,,alarm,replace/ swap,,
Smog Hog leaking,Cleaned cells and exhaust vent,smog_hog,leak,clean,cell/ exhaust_vent,,SH,N,3/3/15,,3/10/15,,Mike L,JPM,John Murray,,,,leak,clean,,
Bar loader tray bent by forktruck,Bent back and replaced screws,bar_loader/ bar/ tray,bent,bent/ replace,bar_loader/ bar/ screw,,H14,N,3/9/15,,3/21/15,,Russ,JPM,John Murray,,screw/ loader,,,replace,bar,
Transport dropping parts,Programing adjustments,transport,drop_part,adjust,program,,I1,N,3/14/15,,3/17/15,,Bruce,Norm,Norm Neveux,,part,,drop,adjust,transport,
Chip conveyor INOP,Removed conveyor and belt on 3/17 -Returned box to I4 and online w/o belt,chip_conveyor/ conveyor,inoperable,remove,conveyor/ belt,,I4,N,3/14/15,,,,Bruce,CD,Colin Doherty,,conveyor/ chip/ belt/ box,,inoperable,remove/ return,online,
Top cross drill unit bearings are bad,Roland rebuilt unit on shelf / Gio and Steve installed in H10,top_cross_drill_unit/ bearing,broken,rebuild,shelf_unit,,H10,N,3/16/15,,3/9/15,,Gio,RF / Gio / SC,Roland Fontaine/ Gio/ Sinat Check,,unit/ bearing/ drill/ steve/ cross/ shelf,,broken,install/ rebuild,,
Vacuum pump INOP,Replaced pump,vacuum_pump/ pump,inoperable,replace,vacuum_pump/ pump,,AIM RM 1,N,3/16/15,,3/16/15,,Bob D,SA,Steve Andreozzi,,pump,,inoperable,replace,,
Brush unit stuck forward,Prox snsor for depth adjusted / Plug and cable replaced,brush_unit/ brush,stuck_forward,adjust/ replace,proximity_sensor/ sensor/ plug/ cable,,H11,Y,3/16/15,,3/16/15,,Russ,JPM/SA,Steve Andreozzi/ John Murray,,unit/ sensor/ cable/ prox/ brush,,stuck,replace/ adjust,forward/ plug,
Saw attachment -short saw life,Replaced saw attachment with backup attachment -removed unit rebuilt and stored,saw_attachment/ saw,short_life,swap,saw_attachment,,H3,N,3/16/15,,3/16/15,,Steve C,JPM,John Murray,,unit/ saw/ attachment,,short,replace/ remove/ rebuild,,
Chip conveyor INOP,Ran back and forth -Cleared,chip_conveyor/ conveyor,inoperable,ran_back_and_forth,conveyor,,H3,N,3/16/15,,3/16/15,,Steve C,JPG,Jerry,,conveyor/ chip,,inoperable,clear,run,
Unit 2 chamfer head belt broken from 3S collision,Replaced drive belt,unit_2/ chamfer_head_belt/ belt,broken/ collision,replace,drive_belt/ belt/ drive,,Sinico,Y,3/16/15,,3/16/15,,Jose,JC,Jon Cousineau,,unit/ head/ belt/ chamfer,,broken,replace,drive,
St# 6V mill not running,Replaced GR motor -broken drive inside gearbox,st_6/ mill/ drive,inoperable/ broken,replace,GR_motor/ motor,,H8,Y,3/17/15,,3/17/15,,Bob B,JPM/ML,John Murray/ Marcel Lefebvre,,station/ motor,,broken,replace,drive/ running,
Side B hydraulic leak,Replaced hydraulic hose / base drained with new collant added,hydraulic/ side_b,leak,replace/ drain/ install,hydraulic/ hose/ base/ collant,,I2,Y,3/17/15,,3/17/15,,Steve C,JC,Jon Cousineau,,hydraulic/ coolant/ base/ hose,drain,leak,replace/ add,new/ drain,
St#11 spindle keeps losing drills,Wrong drive pulleys on spindle -Correct pulleys and belt replaced,st_11/ spindle/ drill/ pulley,lost/ incorrect,replace,pulley/ belt,,H19,N,3/17/15,,3/18/15,,Norm,ML,Marcel Lefebvre,,station/ spindle/ belt/ drill/ pulley,,,replace/ correct,drive/ 11,
Saw attachment -short saw life,Replaced saw attachment with backup attachment -removed unit to be rebuilt,saw_attachment/ saw,short_life,swap,saw_attachment,,H14,N,3/17/15,,3/19/15,,Steve C,JC,Jon Cousineau,,unit/ saw/ attachment,,short,replace/ remove/ rebuild,,
Machine will not stay running,Gearbox cleaned out and prox sensor replaced,machine,will_not_run,clean/ replace,gearbox/ proximity_sensor/ sensor,,T105,Y,3/17/15,,3/20/15,,Mike L,DK/JC,Denis Kusiak/ Jon Cousineau,,sensor/ machine/ prox,,,replace/ clean,running,
Adjusting screw broken pos 2 in tool head,,screw/ tool_head,adjust,no_action_taken,,,ES5,Y,3/17/15,,,,Pete M,,,,screw/ head/ tool,,broken,adjust,,
Inverter guard broken,Welded,inverter_guard/ inverter/ guard,broken,weld,,,H14,Y,3/18/15,,3/18/15,,Russ,JPG,Jerry,,inverter/ guard,,broken,weld,,
Accumulator check / dropping parts at saw,Checked accumulator -OK at 30bar,accumulator/ saw,check/ drop_part,check/ no_problem_detected,accumulator/ low_pressure,,H14,N,3/18/15,,3/18/15,,Russ,SA,Steve Andreozzi,,accumulator/ part/ saw,30bar,drop,check/ ok,,
St#12 HSK tool clamp loose,Replaced HSK clamp screw,st_12/ tool_clamp/ clamp/ hsk,loose,replace,hsk/ clamp/ screw,,H29,Y,3/18/15,,3/18/15,,Clark,JPM,John Murray,,station/ screw/ clamp/ tool,,loose,replace,12/ hsk,
Losing parts at exit chute,Operator adjusted chute -reported ok,part/ exit_chute,lost,no_problem_detected ,,,H3,N,3/18/15,,3/18/15,,Steve C,CD,Colin Doherty,,operator/ part/ chute,,,adjust/ ok/ report,,
Adjust jammed chip stripper on conveyor,Adjusted chip conveyor belt tension and cleared chips from stripper,chip_stripper/ conveyor,jam,adjust,chip_conveyor/ conveyor/ belt/ tension/ chip,,I1,N,3/18/15,,3/18/15,,JPG,CD,Colin Doherty,,conveyor/ chip/ belt,,jam,adjust/ clear,,
Alarm 765053 bar clamping pressure still present SP#6,Cleared on 3/19,bar/ clamp/ pressure/ spindle_6,alarm/ 765053,clear,alarm,,I18,N,3/18/15,,3/18/15,,Norm,Norm,Norm Neveux,,spindle/ pressure/ clamp,,alarm,clear,bar,present
