ReqID,ReqDate,ReqTime,MachID,MachLoc,Manufacturer,machtype,Model,machcustomID,machdesc,ProblemID,ProblemDesc,Prob_cause,PreventPMchk,chk_instructions,Repstatus,Repdate,Reptime,Reptech,RepRes
1,11/13/06,8:29:28 PM,12,Dicing Cell,K&S,DICING SAW,982,P0017,SAW #1,1,Mat in front of saw was soakin,,FALSE,,Under Repair,11/20/07,12:29,Tech 2,test
2,11/20/06,10:54:51 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,2,Water Jets non contact set-up ,,FALSE,,Under Repair,11/21/06,1:39:35 AM,Tech 1,"This would be for Disco Saw P0083.
 Clean & Flush"
2,11/20/06,10:54:51 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,2,Water Jets non contact set-up ,,FALSE,,Under Repair,11/21/06,,Tech 1,Clean & Flush Water Lines
3,11/20/06,10:56:34 PM,84,Dicing Cell,DISCO,DICING SAW,DAD361,P0082,SAW #2,3,Non-contact set-up error,Sludge,FALSE,,Under Repair,11/21/06,,Tech 1,Clean & Flush Water Jets
4,11/20/06,11:14:50 PM,13,AMP Area,K&S,DICING SAW,982,P0018,SAW #9,4,No vacuum,Duplicate Request,FALSE,,Under Repair,11/21/06,1:43:10 AM,Tech 1,Replace Vacuum Pump
5,11/20/06,11:15:33 PM,13,AMP Area,K&S,DICING SAW,982,P0018,SAW #9,5,No Vacuum,Bad Vacuum Pump,FALSE,,Under Repair,11/21/06,9:37:14 PM,Tech 1,Replaced Vacuum Pump
6,11/21/06,10:44:32 AM,85,Closing Cell,Other,Other,Other,Other,Other,6,Plasma treater #9132 beeps bef,no problem found,FALSE,,Under Repair,11/21/06,12:06:12 PM,Tech 2,Test unit. Unit worked.
7,11/21/06,2:08:58 PM,85,Dicing Cell,Other,Other,Other,Other,Other,7,spindle inverter error saw 6,,FALSE,,Under Repair,11/21/06,2:45:21 PM,Tech 2,Reboot machine
8,11/21/06,5:06:20 PM,85,Attaching Cell,Other,Other,Other,Other,Other,8,Air gun will not shut off. Tri,Epoxy,FALSE,,Under Repair,11/27/07,,Tech 1,Replaced Air Gun
9,11/27/06,1:52:47 AM,81,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0045,CHA#1,9,Dead - DOA,Power Failure,FALSE,,Under Repair,11/26/06,7:15 PM,Tech 1,Re-Started Machine / Multiple Start-Up Problems / 
