token,NE,alias,notes
room,I,,
replace,S,,
find,S,,
check,S,,
action_take,X,,
-PRON-,X,,"This means a pronoun. could be ""person"""
too_hot,P,,
unit,I,,
too_cold,P,,
in_bldg,I,building,
check_operation,P,check,
poc,I,poc,I think this is point of contact
office,I,,
repair,S,,
system,I,,
valve,I,,
request,P,,"as in, check_request?"
temperature,I,,
calibrate_stat,S,calibrate,
leak,P,,
hot,R,,probably unknown
air,I,,
room_temperature,I,tempurature,
customer,I,,
stat,I,thermostat,thermostat or freezestat
set_point,I,,"Is this a ? ""to set the point"" or ""a set point""?"
fan,I,,
actuator,I,,
request check,P,check_request,
adjust,S,,
water,I,,
lab,I,laboratory,
alarm,P,,
reset,S,,
verify_proper_operation,S,verify,
need,P,request,
adjust_stat,S,adjust,
temp,I,temperature,
start,X,,
verify_operation,S,verify,
belt,I,,
rm,U,,"reactive maintenance, room, removed (best guess is room)"
adjust_set_point,S,adjust,
control,I,,"as in ""the controls""?"
space,U,,
area,I,,
cold,R,,probably unknown
filter,I,,
damper,I,,
thermostat,I,,
issue,P,,
set,S,,
humidity,I,,
work,U,,"maybe ""it works""?"
noise,P,noisy,
replace_diaphragm,S,replace,
due_to,S,is_cause_of,"debating if this is worth doing, for MaxLike, maybe?"
ok,X,,no prob detected?
acu,I,air_conditioning_unit,
calibrate_stat check_operation,S,calibrate,
sensor,I,,
hood,I,,
discharge,I,,
vent,I,,
action_take find,S,find,
instal,S,install,
motor,I,,
poc_customer,I,poc,
complete_per_request,S,complete,
clean,S,,
run,S,,Unsure if soln or prob. 
very_hot,P,too_hot,
remove,S,,
heat,I,,"unsure, close enough"
2,X,,
check room_temperature,P,check_request,
induction_unit,I,,
room too_hot,P,too_hot,
a_c,I,air_conditioning_unit,
calibrate,S,,
turn_over_to,S,,
pipe_shop,I,,
too_warm,P,too_hot,
aok,X,,no_prob_detected?
air_flow,I,,
101,I,,
change,S,,
supply,I,,
1,X,,
turn,S,,
reset_alarm,S,reset,
not_work,P,broken,
room too_cold,P,too_cold,
exhaust_fan,I,,
replace_belt,S,replace,
freeze_stat_alarm,P,alarm,
controller,I,,
exhaust,I,,
ne,X,,
operation,R,,"In the context of ""resuming operation""-->operating"
coil,I,,
s,X,,
valve actuator,,,
replace valve,S,replace,
open,U,,could be problem or solution
contact,I,,
bearing,I,,
verify,S,,
at_this_time,U,,??
restart,S,,
very_cold,P,too_cold,
request check room_temperature,P,check_request,
air_leak,P,,
floor,I,,
no_air_flow,P,will_not_flow,?? will_not?
bad,P,,
water_leak,P,,
high,,,
door,I,,
building,I,,
verify_operation_of,S,verify,
action_take replace,S,replace,
make_adjustment_to,S,adjust,
3,X,,
low,P,,
too_hot in_bldg,P,too_hot,
build,S,,
return,,,"normally this is return_air, return_water, return_steam"
replace_re_heat_diaphragm,S,replace,
acu-1,I,air_conditioning_unit,
complete,S,,
electric_shop,I,,
no_heat,P,,
equipment,I,,
vav,I,variable_air_volume,
fume_hood,I,,
new,X,,
to_normal,S,adjust,
raise_set_point,S,adjust,
fail,P,,
hvac,I,,I am keeping this as hvac since that is a well known acronym in this field
too_cold in_bldg,P,too_cold,
cause,,,
pump,I,,
warm,P,hot,
adjustment,S,adjust,
time,,,
bldg,I,building,
line,I,,
contractor,I,,
temperature in_bldg,I,inside_temperature,
secure,S,,
space_temperature,I,space_temperature,
problem,P,,
room_temperature too_hot,P,too_hot,
ddc,I,direct_digital_control,
grad,,,
fabricate,S,,
freeze_stat,I,,
cool,U,,
heater,I,,
re_heat,I,reheat,My assumption is this a reheat portion of the coil for hvac
close,,,
clear,S,,
blow,,,
order,S,,
perform,X,,
drain,S,,
clear_alarm,S,clear,
air_handler,I,,
225,I,,
degree,X,,
access,,,
replace valve actuator,S,replace,
room_temperature too_cold,P,too_cold,
locate,,,
service,S,,
office too_cold,P,too_cold,
office too_hot,P,too_hot,
office hot,P,too_hot,
repair_control_air,S,repair,
repair_control_air leak,S,repair,
install,I,install,
cover,U,,could be a cover for something or saying to cover something
no_a_c,P,no_air_conditionining,
room_temperature too_hot in_bldg,P,too_hot,
acu-2,I,acu-2,
switch,I,,
room_temperature too_cold in_bldg,P,too_cold,
acu-4,I,acu-4,
water_detector,I,,
duct,I,,
reset_freeze_stat,S,reset,
cold_air,I,,
okay,P,no_problem,
ahu,I,air_handler_unit,
220,I,,
wall,I,,
in_attic,X,,
room temp,I,room_temperature,
attic,I,,
ac,I,air_conditioning_unit,
adjust_stat set_point,S,adjust,
floor_drain,I,,
adjusted,S,adjust,
fix,S,,
fan_section,I,,
ceiling,I,,
diaphragm,I,,
221,I,,
break,P,broken,
224,I,,
repair air_leak,S,repair,
odor,P,smell,
235,I,,
4,X,,
correct,,,
acu-3,I,acu-3,
control_valve,I,,
shop,I,,
do_not,X,,
acu-9,I,acu-9,
hallway,I,,
make_repair,S,repair,
resolve,S,,
no_issue,S,no_problem_detected,
adjusted_set_point,S,adjust,
_,X,,
_'s,X,,
replace_re_heat,S,replace,
reheat_valve,I,,
properly,X,,
shaft,I,,
water_detection_alarm,P,,
70*f,I,70F,
reheat,I,,"I think in the context of hvac that this is an item, i don't think it would ever occur as a solution"
action_take_adjust_thermostat,S,adjust,
airflow,I,,
action_take_make_adjustment,S,adjust,
way,X,,
acu-5,I,acu-5,
acu-6,I,acu-6,
re_heat_valve,I,reheat_valve,
pre_heat,I,preheat,
227,I,,
place,,,
hot_water_converter,I,,
sponsor,,,
72*f,I,72F,
freeze,I,freezestat,freeze could mean freeze stat or part froze
start unit,S,start,
lower,S,,
roof,I,,
pm,S,preventative_maintenance,
outside,I,,
hot water,I,hot_water,
computer,I,,
make_noise,P,noise,
6,X,,
tension,I,,
verify_operation poc,I,verify,
245,I,,
304,I,,
70_degree,I,,
223,I,,
use,,,
monitor,I,,
very_hot in_bldg,P,too_hot,
pulley,I,,
instal_new,S,install,
vav_box,I,,
heating,,,
replace_diaphragm calibrate_stat,S,replace,
room hot,P,hot,
out_of,X,,
222,I,,
induction_unit_valve,I,,
normal,P,no_problem,
acu-7,I,acu-7,
room_temperature very_hot,P,too_hot,
as_need,X,,
supply_air,I,,
find unit,X,,
replace stat,S,replace,
water_detection,I,,
come,X,,
issue_with,X,,
no_water_present,P,,
lower_set_point,S,lower,"I think this can be adjust, but we might want to discuss if necessary to have as its own thing"
check room,S,check,
smell,P,,
confirm,,,
5,X,,
report,,,
make_adjustment_to set_point,S,adjust,
steam,I,,
flow,I,airflow,assuming that's the only use-case
too_hot rm,P,too_hot,
replace_re_heat valve,S,replace,
off_line,P,offline,
office cold,P,too_cold,
mr,,,
replace filter,S,replace,
hot_water_pump,I,,
come_from,X,,
window,I,,
301,I,,
outage,P,,
stem,,,
chilled_water,I,,
clean_up_water,S,clean,
reset_fault,S,reset,
ms,,,
on_computer,X,,
very_cold_in_bldg,I,too_cold,
repair leak,S,repair,
re_heat_actuator,I,reheat_actuator,
off_due_to,P,offline,
duct_work,I,,
inspect,S,,
unit_heater,I,,
ventilation,I,,
drive,,,
71*f,I,71F,
day,,,
compressor,I,,
read,,,
adjust_thermostat,P,adjust,
schedule,X,,
air_line,I,,
receive,,,
good,,,
lab_space,I,,
reinstall,S,,
currently,,,
ac_unit,I,air_conditioning_unit,
air_conditioning,I,air_conditioning_unit,
a_c unit,I,air_conditioning_unit,
safety,,,
chilled_water_valve,I,,
serve,,,
acu-10,I,air_conditioning_unit,
free_stuck_stem,I,,
room_temperature in_bldg,I,room_temperature,
216,I,,
raise,S,,
replace motor,S,replace,
condensation,P,,
conference_room,I,,
power_plant,I,,
leaking,P,leak,
chill_water,I,,
202,I,,
