0,Broken bar feeder chain. Repaired,"bar_feeder, chain, bar",broken,repair,"bar_feeder, chain, bar"
1,No power. Replaced pin in pendant and powered machine; Possible short in pendant cable,"pendant_cable, cable","short, no_power",replace,pin
2,Smartscope harness broken. Parts ordered / Tech repaired,smartscope_harness,broken,"order, repair",smartscope_harness
3,Check / Charge Accumulators. Where OK,accumulator,"check, charge",no_problem_detected ,
4,Hyd leak at saw atachment. Replaced seal in saw attachment but still leaking; Reapirs pending with ML,"hydraulic, saw_attachment, saw",leak,"replace, need_guy",seal
5,CS1008 setup change over / from ARC1004. Completed / Threading unit rewired,"cs1008, arc1004",setup_change,"complete, rewire",threading_unit
6,Gears on saw attachment tight and grinding per Alex. Replaced saw attachment with rebuilt unit / Removed attachment rebuilt; Shelf,"gear, saw_attachment, saw",tight,"replace, remove","saw_attachment, shelf, saw"
7,Check and charge Accumulators. Checked and charged,accumulator,"check, charge","check, charge",accumulator
8,St# 14 milling spindle repairs. Reapired,"st_14, milling, spindle",repair,repair,"st_14, milling, spindle"
9,Hydraulic leak. Replaced ruptured hydraulic line Side B,"hydraulic, side_b","leak, rupture",replace,"hydraulic, side_b, hose"
10,Turrets leaking A & B. Turrets removed and cleaned of chhips,"turret, side_a, side_b",leak,"remove, clean","turret, chip"
11,Spindle carrier not indexing / Over Feed. ,"spindle_carrier, spindle","not_index, over_feed",no_action_taken,
12,PO will not open / close. Allen Bradley plunger switch replaced,po,"will_not_open, will_not_close",replace,"allen_bradley_plunger_switch, switch"
13,Top cross drill leaking hydraulic. Unit swapped with rebuilt cross drill unit,"top_cross_drill, drill, hydraulic",leak,swap,"cross_drill, drill"
14,Accumulator check. Checked and charged,accumulator,check ,"check, charge",accumulator
15,Conveyor Jam. Hand cranked to free minor jam,conveyor,"jam, minor","hand_crank, crank",jam
16,Hydraulic Motor overheat Alarm. Hydraulic pum replaced / Motor was swapped also,"hydraulic, motor","overheat, alarm, overheat_alarm","replace, swap","hydraulic_pump, motor"
17,Smog Hog leaking. Cleaned cells and exhaust vent,smog_hog,leak,clean,"cell, exhaust_vent"
18,Bar loader tray bent by forktruck. Bent back and replaced screws,"bar_loader, bar, tray",bent,"bent, replace","bar_loader, bar, screw"
19,Transport dropping parts. Programing adjustments,transport,drop_part,adjust,program
20,Chip conveyor INOP. Removed conveyor and belt on 3/17; Returned box to I4 and online w/o belt,"chip_conveyor, conveyor",inoperable,remove,"conveyor, belt"
21,Vacuum pump INOP. Replaced pump,"vacuum_pump, pump",inoperable,replace,"vacuum_pump, pump"
22,Top cross drill unit bearings are bad. Roland rebuilt unit on shelf / Gio and Steve installed in H10,"top_cross_drill_unit, bearing",broken,rebuild,shelf_unit
23,Brush unit stuck forward. Prox snsor for depth adjusted / Plug and cable replaced,"brush_unit, brush",stuck_forward,"adjust, replace","proximity_sensor, sensor, plug, cable"
24,Saw attachment; short saw life. Replaced saw attachment with backup attachment; removed unit rebuilt and stored,"saw_attachment, saw",short_life,swap,saw_attachment
25,Chip conveyor INOP. Ran back and forth; Cleared,"chip_conveyor, conveyor",inoperable,ran_back_and_forth,conveyor
26,Unit 2 chamfer head belt broken from 3S collision. Replaced drive belt,"unit_2, chamfer_head_belt, belt","broken, collision",replace,"drive_belt, belt, drive"
27,Adjusting screw broken pos 2 in tool head. ,"screw, tool_head",adjust,no_action_taken,
28,Saw attachment; short saw life. Replaced saw attachment with backup attachment; removed unit to be rebuilt,"saw_attachment, saw",short_life,swap,saw_attachment
29,St#11 spindle keeps losing drills. Wrong drive pulleys on spindle; Correct pulleys and belt replaced,"st_11, spindle, drill, pulley","lost, incorrect",replace,"pulley, belt"
30,St# 6V mill not running. Replaced GR motor; broken drive inside gearbox,"st_6, mill, drive","inoperable, broken",replace,"GR_motor, motor"
31,Side B hydraulic leak. Replaced hydraulic hose / base drained with new collant added,"hydraulic, side_b",leak,"replace, drain, install","hydraulic, hose, base, collant"
32,Machine will not stay running. Gearbox cleaned out and prox sensor replaced,machine,will_not_run,"clean, replace","gearbox, proximity_sensor, sensor"
33,Inverter guard broken. Welded,"inverter_guard, inverter, guard",broken,weld,
34,Accumulator check / dropping parts at saw. Checked accumulator; OK at 30bar,"accumulator, saw","check, drop_part","check, no_problem_detected","accumulator, low_pressure"
35,St#12 HSK tool clamp loose. Replaced HSK clamp screw,"st_12, tool_clamp, clamp, hsk",loose,replace,"hsk, clamp, screw"
36,Losing parts at exit chute. Operator adjusted chute; reported ok,"part, exit_chute",lost,no_problem_detected ,
37,Adjust jammed chip stripper on conveyor. Adjusted chip conveyor belt tension and cleared chips from stripper,"chip_stripper, conveyor",jam,adjust,"chip_conveyor, conveyor, belt, tension, chip"
38,Alarm 765053 bar clamping pressure still present SP#6. Cleared on 3/19,"bar, clamp, pressure, spindle_6","alarm, 765053",clear,alarm
39,Hydraulic leak in spindle carrier. Removed and replaced broken bolts in spindle #4 horseshoe,"hydraulic, spindle_carrier, spindle",leak,"remove, replace","bolt, spindle, spindle,horseshoe"
40,Sensors on spindle INOP. Sensors and cables replaced with Tony Lobo assist,"spindle, sensor",inoperable,replace,"sensor, cable"
41,St#13 motor smoking. JPM provided motor / Luis Vargas installed,"st_13, motor",smoke,install,motor
42,Hydraulic leak at St#11 valve plate. Removed valve plate and replaced O-Rings,"hydraulic, st_11, valve_plate, valve",leak,"remove, replace","valve_plate, valve, o_ring"
43,Saw unit will INOP. Prox wiring replaced,"saw_unit, saw",inoperable,replace,"proximity_wire, wire"
44,Remove Bio-Hyd from PP; replace with ISO 46 hyd oil. JPM swapped.,"bio, hydraulic, pp",,replace,"jpm, hydraulic, hydraulic_oil, iso_46"
45,Breaker tripping / elect burn smell. Breaker reset; Norm monitoring,"breaker, electrical","trip, burn",reset,breaker
46,Stripped screw head in regulating wheel. Removed screw by drilling it out,"screw, regulating_wheel",strip,"remove, drill",screw
47,Conveyor sensor alarm??. Pete Carello corrected,"converyor, sensor",alarm,correct,alarm
48,HP coolant pressure at 75psi. Bad gauge / Low pressure lines cleaned ou,"high_pressure, coolant, pressure, gauge","incorrect, broken",clean,"low_pressure, line"
49,Meauring arm slamming / pneumatic shock absorber?. Air leak in pneumatic actuator repaired.,"measuring_arm, pneumatic, shock_absorber","leak, collision",repair,"pneumatic, actuator"
50,Stuck in 1/2 table w numerous faults. Brushing unit motor wiring causing issues. Replaced motor starter,"table, brush_unit, motor, wire","will_not_move, fault",replace,"motor, starter"
51,Pendant screen blank / Multiple faults. ,pendant_screen,fault,no_action_taken,
52,Broken wire on AIM. Repaired wire,"aim_wire, wire, aim",broken,repair,wire
53,No Power to machine. ,machine,no_power,no_action_taken,
54,Electrical failure. Tony resolved electrical; no details,electrical,fault,no_action_taken,
55,Saw will not fire. Prox adjusted,saw,inoperable,adjust,"proximity_switch, switch"
56,6mm hex clamping screw broken /. Removed and replaced broken clamping screw,"clamp, clamp_screw, hex",broken,"remove, replace",clamp_screw
57,Brushing unit adjustment broken. Replaced adjusting threaded rod,"brush_unit, brush_unit_adjustment",broken,replace,adjusting_threaded_rod
58,Threading unit chattering. Replaced motor starter,threading_unit,noise,replace,"motor_starter, motor, starter"
59,Breaker tripping. Replaced motor at St#11,"breaker, electrical",trip,replace,"motor, st_11"
60,Brushing unit stuck forward at 1445. Replaced motor contactor M14,"brush_unit, 1445","will_not_move, stuck_forward",replace,"motor, motor_contactor, m_14"
61,Loose wire in control box. Repaired wiring,"wire, control_box",loose,replace,wire
62,Over travel alarm. Reboot machine and manually referrence,over-travel,alarm,"reset, reconfigure",machine
63,Broken air line. Replaced air line,"pneumatic, air_line, hose",broken,replace,air_line
64,M0.1 pump active but no oil flow. Drum filter clogged; vacuum cleaned and online,"m_01, pump, oil",dirty,clean,"drum, filter"
65,Chip conveyor INOP. Cleared large nest of chips from conveyor,"chip_conveyor, conveyor",inoperable,clear,chip
66,Stop switch S120.2 not releasing. Switch replaced,"switch, s_1202",will_not_move,replace,switch
