Date,Mach type,Mach,Effect,Machine Area,Description,Resolution,I,NA,P,S,U,X
1/11/15,,H27,,,Broken bar feeder chain,Repaired,"chain, feeder",,broken,repair,bar,
1/14/15,,H5,,,No power,Replaced pin in pendant and powered machine; Possible short in pendant cable,"machine, cable, pin, pendant",,short,replace,power,
2/27/15,,QA,,,Smartscope harness broken,Parts ordered / Tech repaired,part,,broken,"repair, order",,
2/27/15,,H18,,,Check / Charge Accumulators,Where OK,accumulator,,,"check, charge, ok",,
2/27/15,,H23,,,Hyd leak at saw atachment,Replaced seal in saw attachment but still leaking; Reapirs pending with ML,"hydraulic, saw, attachment",,leak,replace,seal,
2/27/15,,H24,,,CS1008 setup change over / from ARC1004,Completed / Threading unit rewired,"unit, thread",,,"complete, setup",change,
2/27/15,,H27,,,Gears on saw attachment tight and grinding per Alex,Replaced saw attachment with rebuilt unit / Removed attachment rebuilt; Shelf,"unit, saw, gear, attachment, person, shelf",,,"replace, remove, rebuild",,
2/27/15,,H33,,,Check and charge Accumulators,Checked and charged,accumulator,,,"check, charge",,
2/27/15,,H8,,,St# 14 milling spindle repairs,Reapired,"station, spindle, mill",,,repair,14,
2/27/15,,I2,,,Hydraulic leak,Replaced ruptured hydraulic line Side B,"hydraulic, line",,"leak, rupture",replace,,
2/27/15,,I3,,,Turrets leaking A & B ,Turrets removed and cleaned of chhips,"chip, turret",,leak,"remove, clean",,
2/27/15,,I5,,,Spindle carrier not indexing / Over Feed,,"spindle, index",,,,feed,
3/2/15,,A69,,,PO will not open / close,Allen Bradley plunger switch replaced ,,,,replace,"switch, open, close",
3/2/15,,H10,,,Top cross drill leaking hydraulic,Unit swapped with rebuilt cross drill unit,"unit, hydraulic, drill, cross",,leak,"rebuild, swap",,
3/2/15,,H20,,,Accumulator check,Checked and charged,accumulator,,,"check, charge",,
3/2/15,,I2,,,Conveyor Jam,Hand cranked to free minor jam,conveyor,,jam,,,
3/2/15,,I6,,,Hydraulic Motor overheat Alarm,Hydraulic pum replaced / Motor was swapped also,"motor, hydraulic",,alarm,"replace, swap",,
3/3/15,,SH,,,Smog Hog leaking,Cleaned cells and exhaust vent,,,leak,clean,,
3/9/15,,H14,,,Bar loader tray bent by forktruck,Bent back and replaced screws,"screw, loader",,,replace,bar,
3/14/15,,I1,,,Transport dropping parts,Programing adjustments,part,,drop,adjust,transport,
3/14/15,,I4,,,Chip conveyor INOP,Removed conveyor and belt on 3/17; Returned box to I4 and online w/o belt,"conveyor, chip, belt, box",,inoperable,"remove, return",online,
3/16/15,,AIM RM 1,,,Vacuum pump INOP,Replaced pump,pump,,inoperable,replace,,
3/16/15,,H10,,,Top cross drill unit bearings are bad,Roland rebuilt unit on shelf / Gio and Steve installed in H10,"unit, bearing, drill, steve, cross, shelf",,broken,"install, rebuild",,
3/16/15,,H11,,,Brush unit stuck forward,Prox snsor for depth adjusted / Plug and cable replaced,"unit, sensor, cable, prox, brush",,stuck,"replace, adjust","forward, plug",
3/16/15,,H3,,,Saw attachment; short saw life,Replaced saw attachment with backup attachment; removed unit rebuilt and stored,"unit, saw, attachment",,short,"replace, remove, rebuild",,
